FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
1,Alabama,1999,1,"3,354,427   ","2,145,883   ",64.0,"2,047,925   ",61.1,"97,958   ",4.6
2,Alaska,1999,1,"430,060   ","317,506   ",73.8,"296,955   ",69.0,"20,551   ",6.5
4,Arizona,1999,1,"3,729,433   ","2,456,251   ",65.9,"2,347,725   ",63.0,"108,526   ",4.4
5,Arkansas,1999,1,"1,993,883   ","1,251,062   ",62.7,"1,191,937   ",59.8,"59,125   ",4.7
6,California,1999,1,"24,517,977   ","16,323,209   ",66.6,"15,402,202   ",62.8,"921,007   ",5.6
8,Colorado,1999,1,"3,155,548   ","2,326,817   ",73.7,"2,253,833   ",71.4,"72,984   ",3.1
9,Connecticut,1999,1,"2,578,475   ","1,744,288   ",67.6,"1,697,878   ",65.8,"46,410   ",2.7
10,Delaware,1999,1,"586,291   ","397,786   ",67.8,"385,087   ",65.7,"12,699   ",3.2
11,District of Columbia,1999,1,"454,851   ","297,673   ",65.4,"275,729   ",60.6,"21,944   ",7.4
12,Florida,1999,1,"12,181,719   ","7,645,106   ",62.8,"7,330,040   ",60.2,"315,066   ",4.1
13,Georgia,1999,1,"5,920,185   ","4,097,159   ",69.2,"3,933,171   ",66.4,"163,988   ",4.0
15,Hawaii,1999,1,"898,296   ","602,787   ",67.1,"568,864   ",63.3,"33,923   ",5.6
16,Idaho,1999,1,"926,014   ","656,653   ",70.9,"622,828   ",67.3,"33,825   ",5.2
17,Illinois,1999,1,"9,270,132   ","6,396,961   ",69.0,"6,126,346   ",66.1,"270,615   ",4.2
18,Indiana,1999,1,"4,555,845   ","3,129,901   ",68.7,"3,039,983   ",66.7,"89,918   ",2.9
19,Iowa,1999,1,"2,219,763   ","1,594,190   ",71.8,"1,549,965   ",69.8,"44,225   ",2.8
20,Kansas,1999,1,"1,983,288   ","1,407,550   ",71.0,"1,358,695   ",68.5,"48,855   ",3.5
21,Kentucky,1999,1,"3,050,426   ","1,935,358   ",63.4,"1,847,211   ",60.6,"88,147   ",4.6
22,Louisiana,1999,1,"3,273,321   ","2,027,133   ",61.9,"1,921,887   ",58.7,"105,246   ",5.2
23,Maine,1999,1,"980,475   ","661,916   ",67.5,"635,521   ",64.8,"26,395   ",4.0
24,Maryland,1999,1,"3,938,889   ","2,763,253   ",70.2,"2,661,901   ",67.6,"101,352   ",3.7
25,Massachusetts,1999,1,"4,876,917   ","3,360,938   ",68.9,"3,250,723   ",66.7,"110,215   ",3.3
26,Michigan,1999,1,"7,455,274   ","5,064,723   ",67.9,"4,861,891   ",65.2,"202,832   ",4.0
27,Minnesota,1999,1,"3,654,671   ","2,728,597   ",74.7,"2,658,938   ",72.8,"69,659   ",2.6
28,Mississippi,1999,1,"2,078,106   ","1,274,385   ",61.3,"1,211,180   ",58.3,"63,205   ",5.0
29,Missouri,1999,1,"4,185,389   ","2,939,130   ",70.2,"2,842,540   ",67.9,"96,590   ",3.3
30,Montana,1999,1,"678,323   ","466,542   ",68.8,"440,805   ",65.0,"25,737   ",5.5
31,Nebraska,1999,1,"1,271,569   ","929,210   ",73.1,"904,604   ",71.1,"24,606   ",2.6
32,Nevada,1999,1,"1,444,892   ","1,003,285   ",69.4,"964,841   ",66.8,"38,444   ",3.8
33,New Hampshire,1999,1,"928,434   ","673,921   ",72.6,"654,827   ",70.5,"19,094   ",2.8
34,New Jersey,1999,1,"6,379,428   ","4,257,520   ",66.7,"4,073,672   ",63.9,"183,848   ",4.3
35,New Mexico,1999,1,"1,325,134   ","835,220   ",63.0,"786,064   ",59.3,"49,156   ",5.9
